page,auto_generated,reason
a-corua.html,yes,generated-by-current-build-script
aalborg.html,yes,generated-by-current-build-script
aberdeenshire.html,yes,generated-by-current-build-script
about.html,yes,generated-by-current-build-script
agualva-cacm.html,yes,generated-by-current-build-script
ahmedabad.html,yes,generated-by-current-build-script
ai-content-infrastructure.html,yes,generated-by-current-build-script
ai-creative-studio.html,yes,generated-by-current-build-script
aix-en-provence.html,yes,generated-by-current-build-script
albuquerque.html,yes,generated-by-current-build-script
alicante.html,yes,generated-by-current-build-script
almera.html,yes,generated-by-current-build-script
amadora.html,yes,generated-by-current-build-script
amsterdam.html,yes,generated-by-current-build-script
ankara.html,yes,generated-by-current-build-script
appointment-setting-service.html,yes,generated-by-current-build-script
argenteuil.html,yes,generated-by-current-build-script
asnires-sur-seine.html,yes,generated-by-current-build-script
atlanta.html,yes,generated-by-current-build-script
aubervilliers.html,yes,generated-by-current-build-script
aulnay-sous-bois.html,yes,generated-by-current-build-script
austin.html,yes,generated-by-current-build-script
b2b-lead-generation-a-corua.html,yes,generated-by-current-build-script
b2b-lead-generation-aachen.html,yes,legacy-service-pattern-generated
b2b-lead-generation-aalborg.html,yes,generated-by-current-build-script
b2b-lead-generation-aalst.html,yes,legacy-service-pattern-generated
b2b-lead-generation-aarhus.html,yes,legacy-service-pattern-generated
b2b-lead-generation-aberdeen.html,yes,legacy-service-pattern-generated
b2b-lead-generation-aberdeenshire.html,yes,generated-by-current-build-script
b2b-lead-generation-abilene.html,yes,legacy-service-pattern-generated
b2b-lead-generation-accounting.html,yes,legacy-service-pattern-generated
b2b-lead-generation-adelaide.html,yes,legacy-service-pattern-generated
b2b-lead-generation-aerospace.html,yes,legacy-service-pattern-generated
b2b-lead-generation-agency.html,yes,generated-by-current-build-script
b2b-lead-generation-agualva-cacm.html,yes,generated-by-current-build-script
b2b-lead-generation-aix-en-provence.html,yes,generated-by-current-build-script
b2b-lead-generation-ajaccio.html,yes,legacy-service-pattern-generated
b2b-lead-generation-akron.html,yes,legacy-service-pattern-generated
b2b-lead-generation-albuquerque.html,yes,generated-by-current-build-script
b2b-lead-generation-alicante.html,yes,generated-by-current-build-script
b2b-lead-generation-allentown.html,yes,legacy-service-pattern-generated
b2b-lead-generation-almada.html,yes,legacy-service-pattern-generated
